27b - Taxa de letalidade de dengue 
Tx Letalidade Dengue por Município e Ano
Período:2012-2016
"Município";"2012";"2013";"2014";"2015";"2016";"Total"
"350830 Cabrália Paulista";...;0,00;...;0,00;0,00;0,00
"350840 Cabreúva";0,00;0,00;0,00;0,00;0,00;0,00
"350850 Caçapava";0,00;0,00;0,00;0,10;0,00;0,07
"350860 Cachoeira Paulista";0,00;0,00;0,00;0,00;0,00;0,00
"350870 Caconde";...;0,00;0,00;0,00;0,00;0,00
"350880 Cafelândia";...;0,00;0,00;0,45;0,00;0,35
"350890 Caiabu";...;0,00;0,00;0,00;2,94;1,82
"350900 Caieiras";0,00;0,00;0,00;0,00;0,00;0,00
"350910 Caiuá";0,00;0,00;0,00;0,00;0,00;0,00
"350920 Cajamar";0,00;0,00;0,00;0,00;0,00;0,00
"350925 Cajati";0,00;0,00;0,00;0,00;0,00;0,00
"350930 Cajobi";0,00;0,00;0,00;0,00;0,00;0,00
"350940 Cajuru";...;0,00;0,00;0,00;0,00;0,00
"350945 Campina do Monte Alegre";...;...;0,00;0,00;0,00;0,00
"350950 Campinas";0,00;0,00;0,02;0,03;0,00;0,03
"350960 Campo Limpo Paulista";0,00;0,00;0,00;0,58;0,00;0,29
"350970 Campos do Jordão";0,00;0,00;0,00;0,00;0,00;0,00
"350980 Campos Novos Paulista";...;0,00;0,00;0,00;0,00;0,00
"350990 Cananéia";0,00;0,00;0,00;0,00;0,00;0,00
"350995 Canas";...;0,00;0,00;0,00;...;0,00
"351000 Cândido Mota";0,00;0,00;0,00;0,02;1,92;0,04
"351010 Cândido Rodrigues";...;0,00;...;0,00;0,00;0,00
"351015 Canitar";...;...;0,00;0,00;...;0,00
"351020 Capão Bonito";...;0,00;0,00;0,00;0,00;0,00
"351030 Capela do Alto";...;0,00;0,00;0,00;0,00;0,00
"351040 Capivari";0,00;0,00;0,00;0,08;0,00;0,06
"351050 Caraguatatuba";0,60;0,07;0,13;0,15;0,00;0,14
"351060 Carapicuíba";0,00;0,00;0,00;0,04;2,38;0,09
"351070 Cardoso";0,00;0,00;0,00;0,00;0,00;0,00
"351080 Casa Branca";...;0,00;0,00;0,00;0,00;0,00
"351090 Cássia dos Coqueiros";...;0,00;...;...;0,00;0,00
"351100 Castilho";0,00;0,00;0,00;0,00;0,00;0,00
"351110 Catanduva";0,00;0,00;0,16;0,33;0,84;0,31
"351120 Catiguá";...;0,00;0,00;0,41;0,00;0,36
"351130 Cedral";0,00;0,00;0,00;0,40;0,00;0,19
"351140 Cerqueira César";...;0,00;0,00;0,00;...;0,00
"351150 Cerquilho";...;0,00;0,00;0,00;0,00;0,00
"351160 Cesário Lange";...;0,00;0,00;0,00;0,00;0,00
"351170 Charqueada";0,00;0,00;0,00;0,00;0,00;0,00
"355720 Chavantes";...;0,00;0,00;0,00;0,00;0,00
"351190 Clementina";0,00;0,00;0,00;0,00;0,00;0,00
"351200 Colina";0,00;0,00;0,00;0,17;0,00;0,11
"351210 Colômbia";0,00;0,00;0,00;0,49;0,00;0,16
"351220 Conchal";0,00;0,17;0,00;0,00;0,00;0,04
"351230 Conchas";...;0,00;0,00;0,12;0,00;0,12
"351240 Cordeirópolis";0,00;0,00;0,00;0,16;0,00;0,07
"351250 Coroados";0,00;0,00;0,00;0,00;0,00;0,00
"351260 Coronel Macedo";...;...;...;0,00;...;0,00
"351270 Corumbataí";0,00;0,00;0,00;0,00;0,00;0,00
"351280 Cosmópolis";0,00;0,00;0,00;0,18;0,00;0,11
"351290 Cosmorama";...;0,00;0,00;0,00;0,00;0,00
"351300 Cotia";0,00;0,00;0,00;0,05;0,00;0,04
"351310 Cravinhos";0,00;0,31;0,00;0,00;0,00;0,14
"351320 Cristais Paulista";0,00;0,00;0,00;...;0,00;0,00
"351330 Cruzália";...;...;0,00;0,00;0,00;0,00
"351340 Cruzeiro";0,00;0,03;0,00;0,00;0,00;0,03
"351350 Cubatão";0,00;0,09;0,00;0,00;0,00;0,08
"351360 Cunha";0,00;...;...;0,00;0,00;0,00
"351370 Descalvado";0,00;0,00;0,00;0,00;0,00;0,00
"351380 Diadema";5,88;0,00;0,23;0,04;0,00;0,08
"351385 Dirce Reis";...;0,00;0,00;0,00;0,00;0,00
"351390 Divinolândia";...;0,00;0,00;0,00;0,00;0,00
"351400 Dobrada";...;0,00;0,00;0,00;0,00;0,00
"351410 Dois Córregos";...;0,00;1,22;0,25;0,00;0,39
"351420 Dolcinópolis";...;0,00;0,00;0,00;0,00;0,00
"351430 Dourado";...;0,00;0,00;0,00;0,00;0,00
"351440 Dracena";0,00;0,00;0,00;0,09;0,00;0,07
"351450 Duartina";...;0,00;0,00;1,30;0,00;0,93
"351460 Dumont";...;0,00;0,00;0,00;0,00;0,00
"351470 Echaporã";...;0,00;0,00;0,00;0,00;0,00
"351480 Eldorado";0,00;0,00;0,00;0,00;0,00;0,00
