27b - Taxa de letalidade de dengue 
Tx Letalidade Dengue por Município e Ano
Período:2012-2016
"Município";"2012";"2013";"2014";"2015";"2016";"Total"
"353580 Paranapanema";...;...;0,00;0,00;0,00;0,00
"353590 Paranapuã";...;0,00;2,78;0,00;0,00;0,25
"353600 Parapuã";0,00;0,00;0,00;0,22;0,00;0,13
"353610 Pardinho";...;0,00;...;0,00;...;0,00
"353620 Pariquera-Açu";0,00;0,10;0,00;0,00;0,00;0,09
"353625 Parisi";...;0,00;0,00;0,00;0,00;0,00
"353630 Patrocínio Paulista";...;...;...;...;...;...
"353640 Paulicéia";0,00;0,00;...;0,00;0,00;0,00
"353650 Paulínia";0,00;0,00;0,00;0,00;0,00;0,00
"353657 Paulistânia";...;...;...;0,00;...;0,00
"353660 Paulo de Faria";...;0,00;0,00;0,00;0,00;0,00
"353670 Pederneiras";0,00;0,00;0,00;0,00;0,00;0,00
"353680 Pedra Bela";...;...;0,00;...;0,00;0,00
"353690 Pedranópolis";0,00;0,00;0,00;0,00;0,00;0,00
"353700 Pedregulho";...;0,00;...;0,00;0,00;0,00
"353710 Pedreira";...;0,00;0,08;0,00;0,00;0,06
"353715 Pedrinhas Paulista";...;0,00;0,00;0,00;...;0,00
"353720 Pedro de Toledo";0,00;0,00;0,00;0,00;25,00;0,20
"353730 Penápolis";0,00;0,00;0,00;0,25;0,00;0,19
"353740 Pereira Barreto";0,00;0,00;0,00;0,00;0,53;0,10
"353750 Pereiras";...;...;0,00;0,00;0,00;0,00
"353760 Peruíbe";0,00;0,00;0,52;0,00;0,00;0,03
"353770 Piacatu";0,00;0,00;0,00;0,00;0,00;0,00
"353780 Piedade";...;0,00;0,00;0,00;0,00;0,00
"353790 Pilar do Sul";...;0,00;0,00;0,00;0,00;0,00
"353800 Pindamonhangaba";0,00;0,00;0,03;0,00;0,00;0,02
"353810 Pindorama";...;0,00;0,00;0,35;0,00;0,27
"353820 Pinhalzinho";...;...;0,00;0,00;0,00;0,00
"353830 Piquerobi";0,00;...;...;0,00;0,00;0,00
"353850 Piquete";0,00;0,00;0,00;0,00;0,00;0,00
"353860 Piracaia";...;0,00;0,00;0,00;0,00;0,00
"353870 Piracicaba";0,00;0,04;0,22;0,08;0,17;0,08
"353880 Piraju";0,00;0,00;0,00;0,00;0,00;0,00
"353890 Pirajuí";...;0,00;0,00;0,00;0,00;0,00
"353900 Pirangi";...;0,00;0,00;0,44;0,00;0,37
"353910 Pirapora do Bom Jesus";0,00;0,00;0,00;0,00;0,00;0,00
"353920 Pirapozinho";0,00;0,00;0,00;0,13;0,72;0,17
"353930 Pirassununga";0,00;0,00;0,00;0,09;0,00;0,09
"353940 Piratininga";...;0,00;...;0,00;0,00;0,00
"353950 Pitangueiras";0,00;0,00;0,00;0,00;0,00;0,00
"353960 Planalto";0,00;0,00;0,00;0,00;0,00;0,00
"353970 Platina";...;0,00;0,00;0,00;0,00;0,00
"353980 Poá";0,00;0,00;0,00;0,00;0,00;0,00
"353990 Poloni";0,00;0,00;0,00;0,00;0,00;0,00
"354000 Pompéia";...;0,00;0,00;0,23;0,00;0,19
"354010 Pongaí";...;0,00;...;0,00;...;0,00
"354020 Pontal";0,13;0,00;0,00;0,32;0,00;0,08
"354025 Pontalinda";...;0,00;0,00;0,00;0,00;0,00
"354030 Pontes Gestal";...;0,00;0,00;0,00;0,00;0,00
"354040 Populina";...;0,00;0,00;0,00;0,00;0,00
"354050 Porangaba";...;0,00;0,00;0,00;0,00;0,00
"354060 Porto Feliz";...;0,00;0,00;0,00;0,00;0,00
"354070 Porto Ferreira";0,00;0,00;0,00;0,00;0,00;0,00
"354075 Potim";0,00;0,00;0,00;0,00;0,00;0,00
"354080 Potirendaba";0,00;0,00;0,00;0,00;0,00;0,00
"354085 Pracinha";...;0,00;...;0,00;0,00;0,00
"354090 Pradópolis";...;0,00;0,00;0,00;0,00;0,00
"354100 Praia Grande";0,83;0,09;0,00;0,18;6,06;0,13
"354105 Pratânia";...;...;0,00;0,00;0,00;0,00
"354110 Presidente Alves";...;0,00;0,00;0,00;0,00;0,00
"354120 Presidente Bernardes";...;0,00;0,00;0,00;0,00;0,00
"354130 Presidente Epitácio";0,00;0,15;0,00;0,00;0,00;0,05
"354140 Presidente Prudente";0,00;0,03;0,43;0,11;0,21;0,16
"354150 Presidente Venceslau";0,00;0,00;0,00;0,17;0,00;0,08
"354160 Promissão";0,00;0,00;0,00;0,00;0,00;0,00
"354165 Quadra";...;...;...;0,00;0,00;0,00
"354170 Quatá";...;0,00;0,00;0,00;0,00;0,00
"354180 Queiroz";...;0,00;0,00;0,00;...;0,00
"354190 Queluz";0,00;0,00;0,00;0,00;0,00;0,00
"354200 Quintana";...;0,00;0,00;0,00;0,00;0,00
"354210 Rafard";...;0,00;0,00;0,00;0,00;0,00
"354220 Rancharia";0,00;0,00;0,00;0,74;0,00;0,30
"354230 Redenção da Serra";...;0,00;0,00;0,00;0,00;0,00
"354240 Regente Feijó";0,00;0,00;0,00;0,00;0,00;0,00
"354250 Reginópolis";...;0,00;0,00;0,00;0,00;0,00
"354260 Registro";0,00;0,08;0,00;0,00;0,00;0,07
"354270 Restinga";...;0,00;0,00;0,00;...;0,00
"354280 Ribeira";...;0,00;...;0,00;...;0,00
"354290 Ribeirão Bonito";0,00;0,00;0,00;0,00;0,00;0,00
"354300 Ribeirão Branco";...;0,00;...;0,00;0,00;0,00
"354310 Ribeirão Corrente";...;0,00;0,00;0,00;0,00;0,00
"354320 Ribeirão do Sul";...;0,00;0,00;0,00;0,00;0,00
"354323 Ribeirão dos Índios";0,00;0,00;...;0,00;0,00;0,00
"354325 Ribeirão Grande";...;...;...;0,00;...;0,00
"354330 Ribeirão Pires";...;0,00;0,00;0,00;0,00;0,00
"354340 Ribeirão Preto";0,00;0,04;0,00;0,07;0,02;0,03
"354360 Rifaina";...;0,00;0,00;0,79;0,00;0,49
"354370 Rincão";0,00;0,00;0,00;0,00;0,00;0,00
"354380 Rinópolis";0,00;0,00;0,00;0,00;0,00;0,00
"354390 Rio Claro";0,00;0,00;0,00;0,03;0,00;0,03
"354400 Rio das Pedras";0,00;0,00;0,00;0,00;0,00;0,00
"354410 Rio Grande da Serra";...;0,00;0,00;0,00;0,00;0,00
"354420 Riolândia";0,00;0,00;0,00;0,00;0,00;0,00
"354350 Riversul";...;...;0,00;0,00;...;0,00
"354425 Rosana";0,00;0,00;0,13;0,00;0,00;0,07
"354430 Roseira";0,00;0,00;0,00;0,00;0,00;0,00
"354440 Rubiácea";0,00;0,00;0,00;0,00;0,00;0,00
"354450 Rubinéia";...;0,00;0,00;0,00;0,00;0,00
"354460 Sabino";...;0,00;0,00;1,60;0,00;1,55
"354470 Sagres";...;0,00;0,00;0,00;0,00;0,00
"354480 Sales";0,00;0,00;0,00;0,00;0,00;0,00
"354490 Sales Oliveira";0,00;0,00;0,00;0,00;0,00;0,00
"354500 Salesópolis";...;0,00;0,00;0,00;0,00;0,00
"354510 Salmourão";...;0,00;0,00;0,00;0,00;0,00
"354515 Saltinho";0,00;0,00;0,00;0,00;0,00;0,00
"354520 Salto";0,00;0,00;0,65;0,07;0,00;0,09
"354530 Salto de Pirapora";...;0,00;0,00;0,05;0,00;0,05
"354540 Salto Grande";...;0,00;0,00;0,00;...;0,00
"354550 Sandovalina";...;0,00;0,00;0,00;0,00;0,00
"354560 Santa Adélia";...;0,00;0,00;0,56;0,00;0,41
"354570 Santa Albertina";0,00;0,00;0,00;0,00;0,00;0,00
"354580 Santa Bárbara d'Oeste";0,00;0,00;0,09;0,16;0,00;0,11
"354600 Santa Branca";...;0,00;0,00;0,00;0,00;0,00
"354610 Santa Clara d'Oeste";...;0,00;0,00;0,00;0,00;0,00
"354620 Santa Cruz da Conceição";...;0,00;0,00;0,00;0,00;0,00
"354625 Santa Cruz da Esperança";...;0,00;...;0,00;0,00;0,00
"354630 Santa Cruz das Palmeiras";...;0,00;0,00;0,11;0,00;0,10
"354640 Santa Cruz do Rio Pardo";...;0,00;1,69;0,14;0,00;0,24
"354650 Santa Ernestina";0,00;0,00;0,00;0,00;0,00;0,00
"354660 Santa Fé do Sul";0,00;0,00;0,00;0,19;0,00;0,05
"354670 Santa Gertrudes";0,00;0,00;0,00;0,00;0,00;0,00
"354680 Santa Isabel";0,00;0,00;0,00;0,00;0,00;0,00
"354690 Santa Lúcia";0,00;0,00;0,00;0,00;0,00;0,00
"354700 Santa Maria da Serra";0,00;0,00;0,00;0,00;0,00;0,00
"354710 Santa Mercedes";...;0,00;0,00;0,00;0,00;0,00
"354740 Santa Rita d'Oeste";...;0,00;0,00;0,00;0,00;0,00
"354750 Santa Rita do Passa Quatro";50,00;0,00;0,00;0,13;0,00;0,21
"354760 Santa Rosa de Viterbo";33,33;0,00;0,00;0,00;0,00;0,15
"354765 Santa Salete";...;0,00;0,00;0,00;0,00;0,00
"354720 Santana da Ponte Pensa";...;0,00;0,00;0,00;0,00;0,00
"354730 Santana de Parnaíba";0,00;0,00;0,00;0,00;0,00;0,00
"354770 Santo Anastácio";0,00;0,00;0,00;0,00;0,00;0,00
"354780 Santo André";0,00;0,00;0,00;0,18;0,00;0,12
"354790 Santo Antônio da Alegria";...;0,00;0,00;0,00;0,00;0,00
"354800 Santo Antônio de Posse";0,00;0,00;0,00;0,03;0,00;0,03
"354805 Santo Antônio do Aracanguá";0,00;0,00;0,00;0,00;0,00;0,00
"354810 Santo Antônio do Jardim";...;0,00;...;0,00;0,00;0,00
"354820 Santo Antônio do Pinhal";...;...;...;0,00;0,00;0,00
"354830 Santo Expedito";0,00;0,00;...;0,00;0,00;0,00
"354840 Santópolis do Aguapeí";...;0,00;0,00;0,00;0,00;0,00
"354850 Santos";0,00;0,09;0,23;0,14;0,00;0,11
"354860 São Bento do Sapucaí";...;0,00;0,00;0,00;...;0,00
"354870 São Bernardo do Campo";0,00;0,00;0,00;0,06;0,00;0,04
"354880 São Caetano do Sul";0,00;0,00;0,00;0,00;0,00;0,00
"354890 São Carlos";0,00;0,00;0,00;0,10;0,26;0,10
"354900 São Francisco";...;0,00;0,00;0,00;0,00;0,00
"354910 São João da Boa Vista";0,00;0,00;0,00;0,00;0,00;0,00
"354920 São João das Duas Pontes";...;0,00;...;0,00;0,00;0,00
"354925 São João de Iracema";...;0,00;...;0,00;0,00;0,00
"354930 São João do Pau d'Alho";...;0,00;0,00;0,00;0,00;0,00
"354940 São Joaquim da Barra";0,00;0,00;0,00;0,00;0,16;0,04
"354950 São José da Bela Vista";0,00;0,00;...;0,00;0,00;0,00
"354960 São José do Barreiro";...;0,00;0,00;0,00;...;0,00
"354970 São José do Rio Pardo";0,00;0,00;0,00;0,00;0,00;0,00
"354980 São José do Rio Preto";0,51;0,05;0,08;0,05;0,01;0,04
"354990 São José dos Campos";0,00;0,00;0,00;0,07;0,06;0,06
"354995 São Lourenço da Serra";...;0,00;0,00;0,00;0,00;0,00
"355000 São Luís do Paraitinga";0,00;0,00;0,00;0,00;0,00;0,00
"355010 São Manuel";0,00;0,00;0,00;0,00;0,00;0,00
"355020 São Miguel Arcanjo";...;0,00;0,00;0,00;0,00;0,00
"355030 São Paulo";0,16;0,05;0,04;0,06;1,49;0,06
"355040 São Pedro";0,00;0,00;0,00;0,00;0,00;0,00
"355050 São Pedro do Turvo";...;0,00;0,00;0,00;0,00;0,00
"355060 São Roque";...;0,00;0,00;0,00;0,00;0,00
"355070 São Sebastião";0,00;0,00;0,00;0,04;0,00;0,03
"355080 São Sebastião da Grama";...;0,00;0,00;0,00;0,00;0,00
"355090 São Simão";0,00;0,00;0,00;0,00;0,00;0,00
"355100 São Vicente";0,00;0,12;1,36;0,10;0,75;0,18
"355110 Sarapuí";...;...;0,00;0,00;...;0,00
"355120 Sarutaiá";...;...;...;0,00;...;0,00
"355130 Sebastianópolis do Sul";...;0,00;0,00;0,00;0,00;0,00
"355140 Serra Azul";...;0,00;0,00;0,00;0,00;0,00
"355160 Serra Negra";...;0,00;0,00;0,00;0,00;0,00
"355150 Serrana";0,00;0,00;0,00;0,00;0,00;0,00
"355170 Sertãozinho";0,00;0,00;0,00;0,00;0,10;0,06
"355180 Sete Barras";...;0,00;0,00;0,00;0,00;0,00
"355190 Severínia";0,00;0,00;0,00;0,54;0,00;0,21
"355200 Silveiras";...;0,00;...;0,00;...;0,00
"355210 Socorro";0,00;0,00;0,00;0,00;0,00;0,00
"355220 Sorocaba";0,00;0,14;0,00;0,07;0,28;0,07
"355230 Sud Mennucci";0,00;0,00;0,00;0,00;0,00;0,00
"355240 Sumaré";0,00;0,04;0,09;0,06;0,00;0,06
"355255 Suzanápolis";0,00;0,00;0,00;0,00;0,00;0,00
"355250 Suzano";0,00;6,67;0,00;0,00;0,00;0,12
"355260 Tabapuã";0,00;0,00;0,00;0,42;0,00;0,35
"355270 Tabatinga";0,00;0,00;0,00;0,00;0,35;0,14
"355280 Taboão da Serra";0,00;0,00;0,00;0,00;0,00;0,00
"355290 Taciba";...;0,00;0,00;0,00;0,00;0,00
"355300 Taguaí";0,00;...;...;0,00;0,00;0,00
"355310 Taiaçu";0,00;0,00;0,00;0,00;0,00;0,00
"355320 Taiúva";...;0,00;0,00;0,00;0,00;0,00
"355330 Tambaú";0,00;0,00;0,00;0,00;0,00;0,00
"355340 Tanabi";0,00;0,00;0,00;0,06;0,00;0,04
"355350 Tapiraí";...;0,00;0,00;0,00;...;0,00
"355360 Tapiratiba";...;0,00;0,00;0,00;0,00;0,00
"355365 Taquaral";0,00;0,00;0,00;0,00;0,00;0,00
"355370 Taquaritinga";0,00;0,11;0,00;0,00;0,00;0,03
"355380 Taquarituba";...;0,00;0,00;0,00;0,00;0,00
"355385 Taquarivaí";...;0,00;...;0,00;0,00;0,00
"355390 Tarabai";...;0,00;0,00;0,00;0,00;0,00
"355395 Tarumã";0,00;0,00;0,00;0,00;0,00;0,00
"355400 Tatuí";0,00;0,00;0,00;0,00;0,00;0,00
"355410 Taubaté";0,00;0,00;0,01;0,04;0,09;0,03
"355420 Tejupá";...;...;0,00;0,00;...;0,00
"355430 Teodoro Sampaio";0,00;0,00;0,00;0,00;0,53;0,24
"355440 Terra Roxa";0,00;0,00;0,00;0,90;0,00;0,57
"355450 Tietê";...;0,00;0,00;0,33;0,00;0,22
"355460 Timburi";...;...;...;0,00;...;0,00
"355465 Torre de Pedra";...;...;...;0,00;...;0,00
"355470 Torrinha";0,00;0,00;0,00;0,00;0,00;0,00
"355475 Trabiju";...;0,00;0,00;0,00;...;0,00
"355480 Tremembé";0,00;0,00;0,00;0,00;0,15;0,05
"355490 Três Fronteiras";0,00;0,00;0,00;0,00;0,00;0,00
"355495 Tuiuti";...;...;0,00;0,00;0,00;0,00
"355500 Tupã";0,00;0,00;0,00;0,29;0,00;0,12
"355510 Tupi Paulista";0,00;0,00;0,00;0,00;0,00;0,00
"355520 Turiúba";0,00;0,00;0,00;0,00;0,00;0,00
"355530 Turmalina";...;0,00;0,00;0,00;0,00;0,00
"355535 Ubarana";...;0,00;0,00;0,00;0,00;0,00
"355540 Ubatuba";0,00;0,00;0,00;0,00;0,00;0,00
"355550 Ubirajara";...;0,00;0,00;0,85;...;0,74
"355560 Uchoa";0,00;0,00;0,00;0,00;0,00;0,00
"355570 União Paulista";...;0,00;...;0,00;0,00;0,00
"355580 Urânia";0,00;0,00;0,00;0,11;0,00;0,09
"355590 Uru";...;0,00;0,00;0,00;0,00;0,00
"355600 Urupês";...;0,00;0,00;0,00;0,00;0,00
"355610 Valentim Gentil";...;0,00;0,00;0,00;0,00;0,00
"355620 Valinhos";0,00;0,00;0,00;0,17;0,00;0,12
"355630 Valparaíso";0,00;0,00;0,00;0,00;0,00;0,00
"355635 Vargem";...;0,00;0,00;0,00;0,00;0,00
"355640 Vargem Grande do Sul";0,00;0,00;0,00;0,00;0,00;0,00
"355645 Vargem Grande Paulista";...;0,00;0,00;0,00;0,00;0,00
"355650 Várzea Paulista";0,00;0,00;0,22;0,00;0,00;0,05
"355660 Vera Cruz";...;0,00;0,00;0,51;0,00;0,44
"355670 Vinhedo";0,00;0,00;0,00;0,10;0,00;0,08
"355680 Viradouro";0,00;0,00;0,00;0,00;0,00;0,00
"355690 Vista Alegre do Alto";...;0,00;0,00;0,76;0,00;0,33
"355695 Vitória Brasil";...;0,00;0,00;0,00;0,00;0,00
"355700 Votorantim";...;0,00;0,00;0,00;0,00;0,00
"355710 Votuporanga";0,00;0,00;0,04;0,00;0,00;0,02
"355715 Zacarias";0,00;0,00;0,00;0,00;...;0,00
"350000 Município ignorado - SP";0,00;...;...;...;...;0,00
"Total";0,07;0,04;0,04;0,07;0,06;0,06
 Fonte: SESSP/CCD/CVE - Divisão Técnica de Zoonoses - SINAN ON-LINE
 Atualizado em 25/06/2018. 
